Categoría,Código,Producto,Precio (Miles de Pesos)
CONECTIVIDAD,24131,ADAPTADOR HDMI 1 A VGA + AUDIO,17
CONECTIVIDAD,24132,ADAPTADOR USB-C A LAN 1000 RJ45 GENERICO,35
CONECTIVIDAD,24133,ADAPTADOR USB 3.0 LAN 10/100/1000 RJ45 GENERICO,35
CONECTIVIDAD,24135,ADAPTADOR 8en1 TIPO-C RED1000 HDTV+USB+RJ45+SD/TF CARD,79
CONECTIVIDAD,24136,BLUETHOOT USB 5.4,22
CONECTIVIDAD,24135,CABLE ACTIVO 15 MT FIBRA OPTICA HDMI 4K-8K SOLIDVIEW,225
CONECTIVIDAD,24097,CABLE HDMI 1.8 MT ENCAUCHETADO 4K,18
CONECTIVIDAD,24098,CABLE HDMI 3 MT ENCAUCHETADO 4K,23
CONECTIVIDAD,24134,CABLE HDMI 5 MT ENCAUCHETADO 4K PREMIUM,29
CONECTIVIDAD,24081,CABLE HDMI 3 MT SOLIDVIEW 4K 3D COBRE CERTIFICADO,37
CONECTIVIDAD,24140,CABLE DISPLAY PORT 1.8M 4K-8K SOLIDVIEW COBRE CERTIFICADO,42
CONECTIVIDAD,24136,CABLE DISPLAY PORT 3M 4K-8K SOLIDVIEW COBRE CERTIFICADO,52
CONECTIVIDAD,24136,CABLE DISPLAY PORT 3M 4K-8K SOLIDVIEW VER 2.1,59
CONECTIVIDAD,24016,CABLE DISPLAY PORT 5M 4K-8K SOLIDVIEW,69
CONECTIVIDAD,24061,CABLE SPLITTER GENERICO FAN RGB / EXT, 1a4,19
CONECTIVIDAD,24057,CABLE SPLITTER COOLER MASTER FAN RGB / Ext 1a3,19
CONECTIVIDAD,24079,CABLE DE CORRIENTE PARA VENTILADOR 1 a 3,25
CONECTIVIDAD,24118,CABLE EXT GPU CLER MATR RISER PCI 4.0 X16-200mm V2,275
CONECTIVIDAD,24119,CABLE EXTENSOR GPU COOLER MATR RISER FLEX PCI 4.0 X16-300mm V2,279
CONECTIVIDAD,24562,CAJA EXTERNA PORTATIL M.2 3.1 GEN 2 PCI E GEN 3X,75
CONECTIVIDAD,24560,CAJA EXTERNA PORTATIL M.2 (NVME/NGFF) 3.1 USB TIPO A / TIPO C,75
CONECTIVIDAD,24694,CARGADOR UNIVERSAL STARTEC CON ADAPTADOR PARA PORTATIL,65
CONECTIVIDAD,24561,CONTROL REMOTO PARA PRESENTACION LOGITECH SPOTLIGHT,315
CONECTIVIDAD,24554,COMPRESOR PORTABLE XIAOMI ELECTRIC AIR COMPRESSOR 2,189
CONECTIVIDAD,24552,COMPRESOR PORTABLE XIAOMI ELECTRIC AIR COMPRESSOR 2 PRO,229
CONECTIVIDAD,24553,FUNDA PORTATIL 15,
